Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Eyes Wide Shut,55691208,86257553,65000000,"July 16, 1999",R,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78,7.2,93880
The Faculty,40283321,40283321,15000000,"December 25, 1998",R,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51,6.3,36139
Far From Heaven,15901849,29027914,13500000,"November 8, 2002",PG-13,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89,7.5,20239
Facing the Giants,10178331,10178331,100000,"September 29, 2006",PG,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9,6,4901
Face/Off,112276146,241200000,80000000,"June 27, 1997",R,Original Screenplay,Action,Contemporary Fiction,John Woo,93,7.3,102001
Final Destination 2,46896664,89626226,26000000,"January 31, 2003",R,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4,35737
Final Destination 3,54098051,112798051,25000000,"February 10, 2006",R,Original Screenplay,Horror,Fantasy,James Wong,45,5.9,32263
The Final Destination,66477700,185777700,40000000,"August 28, 2009",R,Original Screenplay,Horror,Fantasy,David R. Ellis,27,4.9,20319
Fear and Loathing in Las Vegas,10680275,13711903,18500000,"May 22, 1998",R,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47,7.6,81560
The Fifth Element,63570862,263900000,95000000,"May 9, 1997",PG-13,Original Screenplay,Action,Science Fiction,Luc Besson,72,7.4,131252
Femme Fatale,6592103,6592103,35000000,"November 6, 2002",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48,6.3,16693
Bring it On,68353550,90453550,10000000,"August 25, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63,5.9,30309
Fantastic Four,154696080,330579719,87500000,"July 8, 2005",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27,5.7,71675
From Hell,31598308,31598308,35000000,"October 19, 2001",R,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8,53477
Fight Club,37030102,100853753,65000000,"October 15, 1999",R,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81,8.8,382470
Finding Forrester,51768623,80013623,43000000,"December 19, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74,7.2,35966
Felicia's Journey,824295,1970268,15000000,"November 12, 1999",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,88,6.9,4790
Final Destination,53302314,112802314,23000000,"March 17, 2000",R,Original Screenplay,Horror,Fantasy,James Wong,31,6.8,52618
Flags of Our Fathers,33602376,61902376,53000000,"October 20, 2006",R,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73,7.2,42788
Flawless,4485485,4485485,27000000,"November 24, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Joel Schumacher,43,6.7,8125
Flubber,92993801,177993801,80000000,"November 26, 1997",PG,Remake,Comedy,Kids Fiction,Les Mayfield,17,4.6,18890
Flushed Away,64665672,177665672,149000000,"November 3, 2006",PG,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334
The Family Man,75764085,124715863,60000000,"December 22, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52,6.6,34090
Finding Nemo,339714978,867894287,94000000,"May 30, 2003",G,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2,165006
The Fountain,10144010,15461638,35000000,"November 22, 2006",PG-13,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4,72562
The Forbidden Kingdom,52075270,129075270,55000000,"April 18, 2008",PG-13,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64,6.7,36548
Freedom Writers,36605602,43090741,21000000,"January 5, 2007",PG-13,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69,7.5,18065
Next Friday,57176582,59675307,9500000,"January 12, 2000",R,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,21,5.3,10176
Freaky Friday,110222438,160822438,26000000,"August 6, 2003",PG,Remake,Comedy,Contemporary Fiction,Mark Waters,88,6.5,29137
Friday Night Lights,61255921,61950770,30000000,"October 8, 2004",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81,7.2,20868
The Princess and the Frog,104374107,263467382,105000000,"November 25, 2009",G,Based on Book/Short Story,Adventure,Kids Fiction,John Musker,84,7.4,16232
Full Frontal,2512846,3438804,2000000,"August 2, 2002",R,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37,4.8,6660
Fireproof,33451479,33451479,500000,"September 26, 2008",PG,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40,5.6,5498
The Full Monty,45950122,257938649,3500000,"August 13, 1997",R,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,95,7.2,40877
Funny People,51855045,71880305,70000000,"July 31, 2009",R,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,67,6.8,37791
Furry Vengeance,17630465,21630465,35000000,"April 30, 2010",PG,Original Screenplay,Comedy,Kids Fiction,Roger Kumble,8,2.6,3458
For Your Consideration,5549923,5549923,12000000,"November 17, 2006",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2,7780
The Game,48265581,48265581,50000000,"September 12, 1997",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,80,7.7,74136
Gangs of New York,77730500,190400000,97000000,"December 20, 2002",R,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378
Georgia Rule,18882880,20819601,20000000,"May 11, 2007",R,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902
Gattaca,12532777,12532777,36000000,"October 24, 1997",PG-13,Original Screenplay,Drama,Science Fiction,Andrew Niccol,82,7.8,70906
The Good German,1308696,1308696,32000000,"December 15, 2006",R,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1,13007
Gods and Monsters,6451628,6451628,3500000,"November 6, 1998",R,Based on Book/Short Story,Drama,Historical Fiction,Bill Condon,96,7.5,15946
Ghost Rider,115802596,237702596,120000000,"February 16, 2007",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235
The Gift,12008642,44567606,10000000,"December 19, 2000",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sam Raimi,56,6.7,28488
Gladiator,187683805,457683805,103000000,"May 5, 2000",R,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512
Gloria,4167493,4967493,30000000,"January 22, 1999",R,Remake,Drama,Contemporary Fiction,Sidney Lumet,19,4.7,2726
The Green Mile,136801374,286601374,60000000,"December 10, 1999",R,Based on Book/Short Story,Drama,Fantasy,Frank Darabont,77,8.4,198916
The General's Daughter,102705852,149705852,60000000,"June 18, 1999",R,Based on Book/Short Story,Drama,Contemporary Fiction,Simon West,22,6.1,23570
Godzilla,136314294,376000000,125000000,"May 19, 1998",PG-13,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455
Good Will Hunting,138433435,225933435,10000000,"February 20, 1987",R,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,97,8.1,150415
Gosford Park,41300105,41300105,18000000,"December 26, 2001",R,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3,36648
The Game Plan,90648202,147914546,22000000,"September 22, 2007",PG,Original Screenplay,Comedy,Contemporary Fiction,Andy Fickman,27,6.3,14984
Girl with a Pearl Earring,11634362,22106210,12000000,"December 12, 2003",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Peter Webber,71,7.1,23493
The Great Raid,10166502,10597070,60000000,"August 12, 2005",R,Based on Book/Short Story,Action,Historical Fiction,John Dahl,36,6.8,8894
The Constant Gardener,33579798,81079798,25500000,"August 31, 2005",R,Based on Book/Short Story,Drama,Historical Fiction,Fernando Meirelles,83,7.6,50763
Garden State,26782316,32381151,2500000,"July 28, 2004",R,Original Screenplay,Drama,Contemporary Fiction,Zach Braff,86,7.9,92594
The Brothers Grimm,37899638,105299638,80000000,"August 26, 2005",PG-13,Original Screenplay,Adventure,Fantasy,Terry Gilliam,37,5.9,43532
How the Grinch Stole Christmas,260044825,345141403,123000000,"November 17, 2000",PG,Based on Book/Short Story,Comedy,Kids Fiction,Ron Howard,53,5.7,40310
Get Rich or Die Tryin',30981850,46437122,40000000,"November 9, 2005",R,Original Screenplay,Drama,Contemporary Fiction,Jim Sheridan,16,4,18126
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,30000000,"October 5, 2005",G,Original Screenplay,Adventure,Kids Fiction,Nick Park,95,7.9,38158
Ghost World,6217849,8764007,5500000,"July 20, 2001",R,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Terry Zwigoff,92,7.7,42973
Hancock,227946274,624346274,150000000,"July 2, 2008",PG-13,Original Screenplay,Action,Super Hero,Peter Berg,40,6.5,100822
The Happening,64506874,163403799,60000000,"June 13, 2008",R,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,18,5.2,72259
The House Bunny,48237389,70237389,25000000,"August 22, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Fred Wolf,39,5.5,18964
The Devil's Rejects,17044981,20940428,7000000,"July 22, 2005",R,Original Screenplay,Horror,Contemporary Fiction,Rob Zombie,54,6.9,36082
Head of State,37788228,38283765,35200000,"March 28, 2003",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1,8447
He Got Game,21567853,21567853,25000000,"May 1, 1998",R,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,80,6.8,14494
Heist,23483357,28483168,35000000,"November 9, 2001",R,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2,77
Hellboy,59623958,99823958,60000000,"April 2, 2004",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,81,6.8,67763
Raising Helen,37485528,43340302,50000000,"May 28, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Garry Marshall,22,5.7,10526
The Haunting,91188905,180188905,80000000,"July 23, 1999",PG-13,Based on Book/Short Story,Horror,Contemporary Fiction,Jan De Bont,17,4.6,31808
High Crimes,41543207,63781100,42000000,"April 5, 2002",PG-13,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1,14428
High Fidelity,27277055,47881663,20000000,"March 31, 2000",R,Based on Book/Short Story,Comedy,Contemporary Fiction,Stephen Frears,92,7.6,69740
A History of Violence,31493782,59993782,32000000,"September 23, 2005",R,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,David Cronenberg,87,7.6,79738
The Hills Have Eyes,41778863,69623713,17000000,"March 10, 2006",R,Remake,Horror,Contemporary Fiction,Alexandre Aja,49,6.5,43747
Holy Man,12069719,12069719,60000000,"October 9, 1998",PG,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,12,4.7,9105
Hamlet 2,4886216,4898285,9000000,"August 22, 2008",R,Original Screenplay,Comedy,Contemporary Fiction,Andrew Fleming,64,6.4,9017
Hannibal Rising,27669725,80583311,50000000,"February 9, 2007",R,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6,28690
The Hangover,277322503,465132119,35000000,"June 5, 2009",R,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78,7.9,127634
Holes,67383924,72383924,20000000,"April 18, 2003",PG,Based on Book/Short Story,Drama,Contemporary Fiction,Andrew Davis,77,7.1,19388
Hollow Man,73209340,191200000,90000000,"August 4, 2000",R,Original Screenplay,Horror,Science Fiction,Paul Verhoeven,28,5.5,41499
Honey,30272254,62192232,18000000,"December 5, 2003",PG-13,Original Screenplay,Drama,Contemporary Fiction,Bille Woodruff,20,4.6,13026
Hope Floats,60110313,81529000,30000000,"May 29, 1998",PG-13,Original Screenplay,Drama,Contemporary Fiction,Forest Whitaker,23,5.3,9168
Hostel: Part II,17544812,33606409,7500000,"June 8, 2007",R,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,45,5.4,31511
The Hours,41675994,108775994,25000000,"December 27, 2002",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Stephen Daldry,80,7.6,44618
Bringing Down the House,132675402,164675402,20000000,"March 7, 2003",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4,16242
Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,"November 15, 2002",PG,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063
Harry Potter and the Prisoner of Azkaban,249538952,795538952,130000000,"June 4, 2004",PG,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7,108928
Harry Potter and the Goblet of Fire,290013036,896013036,150000000,"November 18, 2005",PG-13,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946
Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,"July 11, 2007",PG-13,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074
Harry Potter and the Half-Blood Prince,301959197,937499905,250000000,"July 15, 2009",PG,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3,73720
Happy Feet,198000317,385000317,85000000,"November 17, 2006",PG,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369
Hardball,40222729,44102389,21000000,"September 14, 2001",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1,165
The Horse Whisperer,75383563,75383563,60000000,"May 15, 1998",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,71,6.3,15831
Hot Fuzz,23618786,79197493,16000000,"April 20, 2007",R,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8,129779
Hulk,132177234,245360480,137000000,"June 20, 2003",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7,70844
The Incredible Hulk,134806913,263349257,137500000,"June 13, 2008",PG-13,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66,7.1,82419
The Hunchback of Notre Dame,100138851,325500000,100000000,"June 21, 1996",G,Based on Book/Short Story,Adventure,Historical Fiction,Gary Trousdale,73,6.5,19479
The Hunted,34234008,45016494,55000000,"March 14, 2003",R,Original Screenplay,Action,Contemporary Fiction,William Friedkin,31,5.8,18941
Hollywood Homicide,30207785,51107785,75000000,"June 13, 2003",PG-13,Original Screenplay,Action,Contemporary Fiction,Ron Shelton,30,5.2,16452
Ice Age,176387405,383257136,65000000,"March 15, 2002",PG,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552
The Ice Storm,8038061,16011975,18000000,"September 27, 1997",R,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,82,7.5,27544
Identity,52131264,90231264,28000000,"April 25, 2003",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,James Mangold,62,7.3,57909
The Imaginarium of Doctor Parnassus,7689458,58692979,30000000,"December 25, 2009",PG-13,Original Screenplay,Adventure,Fantasy,Terry Gilliam,64,7.1,33374
Imagine That,16123323,16123323,55000000,"June 12, 2009",PG,Original Screenplay,Comedy,Contemporary Fiction,Karey Kirkpatrick,38,5.4,3092
Inception,285630280,753830280,160000000,"July 16, 2010",PG-13,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87,9.1,188247
In the Cut,4717455,23693646,12000000,"October 22, 2003",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jane Campion,34,5.2,11590
Indiana Jones and the Kingdom of the Crystal Skull,317023851,786558145,185000000,"May 22, 2008",PG-13,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,77,6.6,135071
In Dreams,12017369,12017369,30000000,"January 15, 1999",R,Based on Book/Short Story,Horror,Contemporary Fiction,Neil Jordan,22,5.3,7138
Inkheart,17303424,58051454,60000000,"January 23, 2009",PG,Based on Book/Short Story,Adventure,Fantasy,Iain Softley,40,6.1,14157
In & Out,63826569,83226569,35000000,"September 19, 1997",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,71,6.1,18773
I Now Pronounce You Chuck and Larry,119725280,185708462,85000000,"July 20, 2007",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347
Inside Man,88634237,184634237,50000000,"March 24, 2006",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Spike Lee,86,7.7,86229
The Insider,28965197,60265197,68000000,"November 5, 1999",R,Based on Book/Short Story,Drama,Dramatization,Michael Mann,96,8,68747
Insomnia,67263182,113622499,46000000,"May 24, 2002",R,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3,33
Instinct,34105207,34105207,55000000,"June 4, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,27,6.2,15388
The Invention of Lying,18451251,32679264,18500000,"October 2, 2009",PG-13,Original Screenplay,Comedy,Fantasy,Ricky Gervais,57,6.5,24578
Iron Man 2,312128345,622128345,170000000,"May 7, 2010",PG-13,Based on Comic/Graphic Novel,Adventure,Super Hero,Jon Favreau,74,7.3,61256
Iron Man,318604126,582604126,186000000,"May 2, 2008",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94,7.9,174040
The Iron Giant,23159305,31333917,50000000,"August 4, 1999",PG,Based on Book/Short Story,Adventure,Kids Fiction,Brad Bird,97,7.9,38791
The Island,35818913,163018913,120000000,"July 22, 2005",PG-13,Original Screenplay,Action,Science Fiction,Michael Bay,40,6.9,82601
The Italian Job,106126012,175826012,60000000,"May 30, 2003",PG-13,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9,76835
Jackie Brown,39673162,72673162,12000000,"December 25, 1997",R,Based on Book/Short Story,Drama,Contemporary Fiction,Quentin Tarantino,85,7.6,84068
The Jackal,54956941,159356941,60000000,"November 14, 1997",R,Remake,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,12,6,35540
Jarhead,62647540,96947540,72000000,"November 4, 2005",R,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61,7.2,60650
The World is Not Enough,126930660,361730660,135000000,"November 19, 1999",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Michael Apted,51,6.3,59406
Die Another Day,160942139,431942139,142000000,"November 22, 2002",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6,67476
Casino Royale,167365000,596365000,102000000,"November 17, 2006",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936
Quantum of Solace,169368427,576368427,230000000,"November 14, 2008",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Marc Forster,64,6.8,93596
Joe Dirt,27087695,30987695,16000000,"April 11, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,5.4,18666
The Curse of the Jade Scorpion,7496522,18496522,26000000,"August 24, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,45,6.7,15897
Jersey Girl,25266129,37066129,35000000,"March 26, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,40,6.2,27370
Joe Somebody,22770864,24515990,38000000,"December 21, 2001",PG,Original Screenplay,Comedy,Contemporary Fiction,John Pasquin,19,5.3,5313
John Q,71026631,102226631,36000000,"February 15, 2002",PG-13,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6,32338
Julie & Julia,94125426,126646119,40000000,"August 7, 2009",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,Nora Ephron,75,7.2,22269
Jumper,80172128,222117068,82500000,"February 14, 2008",PG-13,Based on Book/Short Story,Adventure,Science Fiction,Doug Liman,17,5.9,69161
Juno,143495265,230327671,7000000,"December 5, 2007",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9,149855
K-19: The Widowmaker,35168966,65716126,90000000,"July 19, 2002",PG-13,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5,22288
Kick-Ass,48071303,76252166,28000000,"April 16, 2010",R,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Matthew Vaughn,75,8.1,86990
Kiss of the Dragon,36833473,36833473,25000000,"July 6, 2001",R,Original Screenplay,Action,Contemporary Fiction,Chris Nahon,51,6.3,22087
Kill Bill: Volume 1,70098138,180098138,55000000,"October 10, 2003",R,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,85,8.2,231761
Kingdom of Heaven,47398413,211398413,110000000,"May 6, 2005",R,Original Screenplay,Adventure,Historical Fiction,Ridley Scott,39,7.1,83189
King Kong,218080025,550517357,207000000,"December 14, 2005",PG-13,Remake,Adventure,Fantasy,Peter Jackson,83,7.6,132720
The Kingdom,47467250,86509602,72500000,"September 28, 2007",R,Original Screenplay,Action,Contemporary Fiction,Peter Berg,51,7.1,47200
Knowing,79957634,187858642,50000000,"March 20, 2009",PG-13,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alex Proyas,32,6.4,58138
K-PAX,50315140,50315140,48000000,"October 26, 2001",PG-13,Based on Book/Short Story,Drama,Science Fiction,Iain Softley,40,7.3,50475
King's Ransom,4008527,4049527,25000000,"April 22, 2005",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jeffrey W. Byrd,2,3.5,2251
The Kite Runner,15800078,73222245,20000000,"December 14, 2007",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Marc Forster,66,7.8,26816
Kundun,5686694,5686694,28000000,"December 25, 1997",PG-13,Original Screenplay,Drama,Dramatization,Martin Scorsese,76,7,10248
L.A. Confidential,64604977,110604977,35000000,"September 19, 1997",R,Based on Book/Short Story,Drama,Historical Fiction,Curtis Hanson,99,8.4,165161
Law Abiding Citizen,73357727,113190972,53000000,"October 16, 2009",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,F. Gary Gray,25,7.2,45577
Ladder 49,74541707,102332848,60000000,"October 1, 2004",PG-13,Original Screenplay,Action,Contemporary Fiction,Jay Russell,40,6.5,23369
The Ladykillers,39692139,77692139,35000000,"March 26, 2004",R,Remake,Comedy,Contemporary Fiction,Joel Coen,54,6.2,39242
Lady in the Water,42285169,72785169,75000000,"July 21, 2006",PG-13,Original Screenplay,Drama,Fantasy,M. Night Shyamalan,24,5.8,47535
Lakeview Terrace,39263506,44263506,20000000,"September 19, 2008",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Neil LaBute,46,6.3,18547
Little Children,5463019,14763019,14000000,"October 6, 2006",R,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,79,7.8,37162
I am Legend,256393010,585055701,150000000,"December 14, 2007",PG-13,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69,7.1,153631
Last Holiday,38399961,43343247,45000000,"January 13, 2006",PG-13,Remake,Comedy,Contemporary Fiction,Wayne Wang,54,6.3,8060
Liar Liar,181410615,302710615,45000000,"March 21, 1997",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,82,6.7,67798
The Life Aquatic with Steve Zissou,24006726,34806726,50000000,"December 10, 2004",R,Original Screenplay,Comedy,Contemporary Fiction,Wes Anderson,53,7.2,57889
The Life of David Gale,19694635,28920188,50000000,"February 21, 2003",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Alan Parker,20,7.3,37628
Life,64062587,73521587,75000000,"April 16, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Ted Demme,50,5.3,99
Like Mike,51432423,62432423,30000000,"July 3, 2002",PG,Original Screenplay,Comedy,Kids Fiction,John Schultz,56,4.4,4870
Living Out Loud,12905901,12905901,12000000,"October 30, 1998",R,Original Screenplay,Drama,Contemporary Fiction,Richard LaGravenese,58,6.5,3040
The Last King of Scotland,17606684,48363516,6000000,"September 27, 2006",R,Based on Book/Short Story,Drama,Dramatization,Kevin MacDonald,87,7.8,54022
Lions for Lambs,14998070,63211088,35000000,"November 9, 2007",R,Original Screenplay,Drama,Contemporary Fiction,Robert Redford,27,6.2,22264
Love and Basketball,27441122,27709625,15000000,"April 21, 2000",PG-13,Original Screenplay,Drama,Historical Fiction,Gina Prince-Bythewood,81,6.7,5835
Lord of War,24149632,62142629,42000000,"September 16, 2005",R,Original Screenplay,Action,Contemporary Fiction,Andrew Niccol,61,7.7,80124
The Last Samurai,111110575,456810575,120000000,"December 5, 2003",R,Original Screenplay,Action,Historical Fiction,Edward Zwick,65,7.8,106002
Lost in Translation,44585453,106454000,4000000,"September 12, 2003",R,Original Screenplay,Drama,Contemporary Fiction,Sofia Coppola,94,7.9,130998
Lethal Weapon 4,130444603,285400000,140000000,"July 10, 1998",R,Original Screenplay,Action,Contemporary Fiction,Richard Donner,54,6.4,47846
Little Man,58636047,101636047,64000000,"July 14, 2006",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,12,5.7,97
Lucky You,5755286,6521829,55000000,"May 4, 2007",PG-13,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28,5.9,9870
The Lovely Bones,44028238,94702568,65000000,"December 11, 2009",PG-13,Based on Book/Short Story,Drama,Fantasy,Peter Jackson,32,6.6,32049
For Love of the Game,35188640,46112640,50000000,"September 17, 1999",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,64,6.2,13612
The Longest Yard,158119460,190320568,82000000,"May 27, 2005",PG-13,Remake,Comedy,Contemporary Fiction,Peter Segal,31,6.2,39752
Mad City,10561038,10561038,50000000,"November 7, 1997",PG-13,Original Screenplay,Drama,Contemporary Fiction,Costa-Gavras,37,6.1,9611
Madagascar: Escape 2 Africa,180010950,599516844,150000000,"November 7, 2008",PG,Original Screenplay,Comedy,Kids Fiction,Eric Darnell,64,6.8,30285
Madagascar,193595521,532680671,75000000,"May 27, 2005",PG,Original Screenplay,Adventure,Kids Fiction,Eric Darnell,55,6.6,56480
Paul Blart: Mall Cop,146336178,180449670,26000000,"January 16, 2009",PG,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35,5.3,23753
A Man Apart,26500000,44114828,36000000,"April 4, 2003",R,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,11,5.7,14953
Man on Fire,77906816,118706816,60000000,"April 23, 2004",R,Remake,Thriller/Suspense,Contemporary Fiction,Tony Scott,38,7.7,75256
Man of the House,19699706,22099706,50000000,"February 25, 2005",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,8,4.2,3432
The Man Who Knew Too Little,13801755,13801755,20000000,"November 14, 1997",PG,Based on Book/Short Story,Comedy,Contemporary Fiction,Jon Amiel,40,6.3,11307
Marci X,1646664,1646664,20000000,"August 22, 2003",R,Original Screenplay,Comedy,Contemporary Fiction,Richard Benjamin,10,2.4,3449
The Matrix,171479930,460279930,65000000,"March 31, 1999",R,Original Screenplay,Action,Science Fiction,Andy Wachowski,86,8.7,380934
Max Keeble's Big Move,17292381,17292381,12000000,"October 5, 2001",PG,Original Screenplay,Comedy,Kids Fiction,Tim Hill,26,5.1,2490
Vicky Cristina Barcelona,23213577,77213577,16000000,"August 15, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,82,7.4,51760
My Best Friend's Girl,19219250,34787111,20000000,"September 19, 2008",R,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,15,5.8,14617
The Manchurian Candidate,65948711,96148711,80000000,"July 30, 2004",R,Remake,Thriller/Suspense,Historical Fiction,Jonathan Demme,81,6.7,36553
Michael Clayton,49033882,92987651,21500000,"October 5, 2007",R,Original Screenplay,Drama,Contemporary Fiction,Tony Gilroy,90,7.5,59493
